,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Number,Cellulose,Hemicellulose,Lignin,Temp,Pressure,Equivalance mass ratio,Steam to biomass mass ratio,Superficial gas velocity,H2,CO,CO2,CH4,Lower heating value,Char yield,tar yield,,,,,,
149,0.29,0.29,0.42,800.00,1.00,0.24,0.00,0.56,27.25,28.59,36.87,7.29,9.16,24.00,8.84,,,,,,
150,0.29,0.29,0.42,850.00,1.00,0.29,0.00,0.72,25.29,30.82,35.85,8.05,9.50,26.00,8.84,,,,,,
151,0.29,0.29,0.42,800.00,1.00,0.23,0.00,0.82,23.82,30.56,36.96,8.66,9.53,30.00,8.84,,,,,,
152,0.29,0.29,0.42,900.00,1.00,0.29,0.00,1.12,21.77,32.73,36.46,9.04,9.72,22.00,8.84,,,,,,
153,0.29,0.29,0.42,800.00,1.00,0.23,0.00,0.30,25.80,33.38,31.17,9.65,10.45,34.00,8.84,,,,,,
154,0.29,0.29,0.42,850.00,1.00,0.29,0.00,0.38,23.75,32.91,33.31,10.03,10.31,25.00,8.84,,,,,,
155,0.29,0.29,0.42,900.00,1.00,0.33,0.00,0.48,22.16,31.03,37.75,9.06,9.55,9.00,8.84,,,,,,
156,0.29,0.29,0.42,850.00,1.00,0.12,0.00,0.46,29.50,38.29,22.71,9.50,11.42,33.00,8.84,,,,,,
157,0.47,0.25,0.28,750.00,5.00,0.23,2.20,9.34,36.62,22.58,32.37,8.44,3.45,7.31,2.58,,,,,,
158,0.47,0.25,0.28,750.00,5.00,0.23,2.10,9.58,38.54,18.86,35.17,7.44,2.97,8.90,4.69,,,,,,
159,0.47,0.25,0.28,850.00,5.00,0.24,2.20,9.35,39.66,20.89,31.31,8.14,3.36,4.34,0.72,,,,,,
160,0.47,0.25,0.28,850.00,5.00,0.24,2.10,9.59,40.11,20.69,31.31,7.89,3.32,6.21,1.60,,,,,,
161,0.49,0.28,0.23,816.76,1.00,0.30,0.00,0.30,20.80,29.95,38.78,10.47,2.48,12.09,11.11,,,,,,
162,0.49,0.28,0.23,854.01,1.00,0.29,0.00,0.31,20.00,35.70,39.47,4.82,2.13,20.99,9.22,,,,,,
163,0.49,0.28,0.23,700.00,1.00,0.30,1.20,3.30,34.56,55.44,6.78,4.10,5.30,35.90,134.10,,,,,,
164,0.49,0.28,0.23,750.00,1.00,0.30,1.20,3.40,36.56,50.42,8.50,4.54,5.50,31.00,122.30,,,,,,
165,0.42,0.36,0.22,700.00,1.00,0.30,0.00,3.20,22.30,38.50,29.30,9.90,3.44,24.50,5.90,,,,,,
166,0.42,0.36,0.22,800.00,1.00,0.30,0.00,3.30,22.10,34.10,34.60,9.30,3.69,22.00,2.80,,,,,,
167,0.50,0.30,0.19,600.00,1.00,0.00,1.00,0.63,28.86,22.90,34.97,13.27,13.21,2.70,0.00,,,,,,
168,0.50,0.30,0.19,600.00,1.00,0.00,1.00,0.63,27.65,23.83,34.60,13.92,12.60,3.70,0.00,,,,,,
169,0.50,0.30,0.19,650.00,1.00,0.00,1.00,0.67,32.61,24.44,30.02,12.93,11.27,5.10,0.00,,,,,,
170,0.50,0.30,0.19,650.00,1.00,0.00,1.00,0.73,30.52,25.96,28.27,15.25,6.18,5.20,0.00,,,,,,
171,0.50,0.30,0.19,650.00,1.00,0.00,1.00,0.73,29.66,27.27,26.19,16.88,7.40,7.20,0.00,,,,,,
